Name,star,num,type,address,image,Address,Local_Address,Internet_Address,Call_Number,Rating,Sun,Mon,Tues,Wedn,Thur,Fri,Sat,keyword,avgTime,lat,lng,exp,cluster
도쿄 국립 박물관,45.0,2206.0,아트뮤지엄,"13-9 Uenokoen, Taito City, Tokyo 110-8712 일본",https://media-cdn.tripadvisor.com/media/photo-s/1a/a1/3c/51/caption.jpg,"13-9 Uenokoen, Taito City, Tokyo 110-8712 일본",〒110-8712 東京都台東区上野公園１３−9,https://www.tnm.jp/,81 50-5541-8600,4.5,오전 9:30~오후 5:00,휴무일,오전 9:30~오후 5:00,오전 9:30~오후 5:00,오전 9:30~오후 5:00,오전 9:30~오후 5:00,오전 9:30~오후 5:00,"['박물관', '무료', '체험', '산책', '공원', '휴식', '역사', '사진', '작품', '그림', '전시회', '불상']",180.0,35.71896214,139.7765022,일본과 다른 아시아 국가의 예술 작품과 유물을 주로 선보이는 웅장한 박물관 단지입니다.,7
조죠지,40.0,2170.0,종교적인 장소,"4 Chome-7-35 Shibakoen, Minato City, Tokyo 105-0011 일본",https://media-cdn.tripadvisor.com/media/photo-s/06/d3/97/a2/zojoji-temple.jpg,"4 Chome-7-35 Shibakoen, Minato City, Tokyo 105-0011 일본",〒105-0011 東京都港区芝公園４丁目７−35,https://www.zojoji.or.jp/,+81 3-3432-1431,4.4,오전 9:00~오후 5:00,오전 9:00~오후 5:00,오전 9:00~오후 5:00,오전 9:00~오후 5:00,오전 9:00~오후 5:00,오전 9:00~오후 5:00,오전 9:00~오후 5:00,"['무료', '신사', '사원', '산책', '공원', '역사', '사진', '배', '절', '산']",90.0,35.65762717,139.7484215,"정토종 본당인 복합 단지로, 1600년대에 지은 화려한 건물이 있습니다.",11
시바 공원,40.0,372.0,공원,"4 Chome-10-17 Shibakoen, Minato City, Tokyo 105-0011 일본",https://media-cdn.tripadvisor.com/media/photo-s/0c/14/cd/de/caption.jpg,"4 Chome-10-17 Shibakoen, Minato City, Tokyo 105-0011 일본",〒105-0011 東京都港区芝公園４丁目１０−17,https://www.tokyo-park.or.jp/park/format/index001.html,+81 3-3431-4359,4.1,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,"['놀이기구', '시장', '신사', '야경', '꽃', '사원', '산책', '공원', '휴식', '역사', '사진', '옛날', '광장', '절']",60.0,35.65516386,139.7479706,인공 협곡이 있는 조경이 잘 된 공원으로 폭포와 관상용 나무를 볼 수 있습니다.,11
우에노 공원,45.0,5260.0,공원,"Uenokoen, Taito City, Tokyo 110-0007 일본",https://media-cdn.tripadvisor.com/media/photo-s/22/9c/94/af/caption.jpg,"Uenokoen, Taito City, Tokyo 110-0007 일본",〒110-0007 東京都台東区上野公園,http://www.kensetsu.metro.tokyo.jp/jimusho/toubuk/ueno/kouenannai.html,+81 3-3828-5644,4.3,오전 5:00~오후 11:00,오전 5:00~오후 11:00,오전 5:00~오후 11:00,오전 5:00~오후 11:00,오전 5:00~오후 11:00,오전 5:00~오후 11:00,오전 5:00~오후 11:00,"['동물원', '박물관', '음식', '카페', '시장', '신사', '꽃', '사원', '공연', '산책', '공원', '휴식', '역사', '사진', '술', '옛날', '광장', '절']",480.0,35.71489505,139.7734527,"인기 있는 도시공원에 드넓은 산책로, 대여용 보트를 탈 수 있는 호수, 동물원, 여러 박물관이 있습니다.",7
Shibuya Scramble Crossing,40.0,7521.0,즐길거리 & 랜드마크,"일본 Tokyo, Shibuya City, 1 Chome",https://media-cdn.tripadvisor.com/media/photo-s/12/b4/50/7e/shibuya-pedestrian.jpg,"일본 Tokyo, Shibuya City, 1 Chome",東京都渋谷区1 Chome,없음,없음,4.4,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,"['카페', '백화점', '야외', '음식', '야경', '음식점', '체험', '선물', '실내', '기념품', '사진', '쇼핑몰', '전망대', '쇼핑']",30.0,35.6596476,139.700506,시부야 스크램블 교차점은 일본 도쿄도 시부야구 시부야에 소재한 시부야역의 북서쪽 옆에 있는 대각선 횡단보도이다. ,3
신주쿠 교엔,45.0,6167.0,가든,"11 Naitomachi, Shinjuku City, Tokyo 160-0014 일본",https://media-cdn.tripadvisor.com/media/photo-s/1b/62/93/a0/caption.jpg,"11 Naitomachi, Shinjuku City, Tokyo 160-0014 일본",〒160-0014 東京都新宿区内藤町11,https://www.env.go.jp/garden/shinjukugyoen/index.html,+81 3-3350-0151,4.5,오전 9:00~오후 6:00,오전 9:00~오후 6:00,오전 9:00~오후 6:00,오전 9:00~오후 6:00,오전 9:00~오후 6:00,오전 9:00~오후 6:00,오전 9:00~오후 6:00,"['카페', '음식', '무료', '꽃', '산책', '공원', '휴식', '애니메이션', '사진', '식물원']",150.0,35.6853767,139.7100517,"옛 사유지에 조성된 0.58km² 규모의 공원으로 다양한 정원, 녹지, 온실을 둘러볼 수 있습니다.",16
도쿄 조이 폴리스,40.0,462.0,놀이공원 & 테마파크 • 게임 & 엔터테인먼트 센터,"일본 〒135-0091 Tokyo, Minato City, Daiba, 1 Chome−6−1 3F～5F DECKS Tokyo Beach",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/5a/fc/ea/caption.jpg?w=1100&h=500&s=1,"일본 〒135-0091 Tokyo, Minato City, Daiba, 1 Chome−6−1 3F～5F DECKS Tokyo Beach",〒135-0091 東京都港区台場１丁目６−1 3F～5F DECKS Tokyo Beach,http://tokyo-joypolis.com/,+81 3-5500-1801,4.1,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 11:00~오후 7:00,오전 11:00~오후 7:00,오전 11:00~오후 7:00,오전 11:00~오후 7:00,오전 11:00~오후 7:00,"['카페', '놀이기구', '무료', '체험', '어트랙션', '어린이', '게임', '공원', '실내', '휴식', '애니메이션']",210.0,35.62881694,139.7754713,"롤러코스터, 아케이드 게임, 가상 현실 체험관이 있는 실내 놀이공원입니다.",10
킷테 마루노우치,,,,"2 Chome-7-2 Marunouchi, Chiyoda City, Tokyo 100-0005 일본",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/0f/ea/8b/kitte.jpg?w=1600&h=-1&s=1,"2 Chome-7-2 Marunouchi, Chiyoda City, Tokyo 100-0005 일본",〒100-0005 東京都千代田区丸の内２丁目７−2,https://marunouchi.jp-kitte.jp/,+81 3-3216-2811,4.0,오전 11:00~오후 8:00,오전 11:00~오후 8:00,오전 11:00~오후 8:00,오전 11:00~오후 8:00,오전 11:00~오후 8:00,오전 11:00~오후 8:00,오전 11:00~오후 8:00,"['카페', '박물관', '백화점', '음식', '무료', '야경', '음식점', '선물', '산책', '쇼핑몰', '실내', '휴식', '역사', '기념품', '사진', '전망대', '광장', '쇼핑']",80.0,35.67990285,139.7649723,"현대적인 고층 건물 7개 층에 걸쳐 상점, 레스토랑, 서비스 매장이 들어서 있는 세련된 쇼핑센터입니다.",1
오모테산도 힐즈,40.0,1937.0,인근 지역,"4 Chome-12 Jingumae, Shibuya City, Tokyo 150-0001 일본",https://media-cdn.tripadvisor.com/media/photo-s/08/61/1a/c5/omotesando.jpg,"4 Chome-12 Jingumae, Shibuya City, Tokyo 150-0001 일본",〒150-0001 東京都渋谷区神宮前４丁目１２,https://www.omotesandohills.com/,+81 3-3497-0310,3.9,오전 11:00~오후 11:00,오전 11:00~오후 11:00,오전 11:00~오후 11:00,오전 11:00~오후 11:00,오전 11:00~오후 11:00,오전 11:00~오후 11:00,오전 11:00~오후 11:00,"['카페', '백화점', '골목', '무료', '음식점', '옷', '선물', '산책', '휴식', '작품', '사진', '쇼핑몰', '옛날', '쇼핑']",210.0,35.66784542,139.7074667,독특한 삼각형 구조의 실내 쇼핑몰로 여러 층에 고급 상점이 들어서 있습니다.,3
네즈 미술관,45.0,874.0,아트뮤지엄,"6 Chome-5-1 Minamiaoyama, Minato City, Tokyo 107-0062 일본",https://media-cdn.tripadvisor.com/media/photo-s/0b/69/83/d8/caption.jpg,"6 Chome-5-1 Minamiaoyama, Minato City, Tokyo 107-0062 일본",〒107-0062 東京都港区南青山６丁目５−1,https://www.nezu-muse.or.jp/,+81 3-3400-2536,4.5,오전 10:00~오후 5:00,휴무일,오전 10:00~오후 5:00,휴무일,휴무일,휴무일,오전 10:00~오후 5:00,"['카페', '박물관', '꽃', '산책', '휴식', '역사', '사진', '작품', '그림', '전시회', '불상']",90.0,35.66249213,139.7172224,"다양한 방식으로 근대 이전의 예술품을 볼 수 있는 일본 및 동아시아 미술관으로, 카페와 선물 가게가 있습니다.",13
아메요코 쇼핑가,40.0,2734.0,벼룩시장 & 재래시장,"6 Chome-10 Ueno, Taito City, Tokyo 110-0005 일본",https://media-cdn.tripadvisor.com/media/photo-s/14/20/76/0f/caption.jpg,"6 Chome-10 Ueno, Taito City, Tokyo 110-0005 일본",〒110-0005 東京都台東区上野６丁目１０,http://www.ameyoko.net/,+81 3-3832-5053,4.2,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,"['음식', '시장', '음식점', '옷', '산책', '전통', '기념품', '사진', '술', '옛날', '쇼핑']",150.0,35.70896926,139.7747048,"주로 의류, 신발, 음식 및 과일 과 같은 저렴한 상품을 판매하는 야외 쇼핑가입니다.",7
모리 미술관,45.0,1105.0,아트뮤지엄,"일본 〒106-6150 Tokyo, Minato City, Roppongi, 6 Chome−10−1, Roppongi Hills Mori Tower, 53階",https://media-cdn.tripadvisor.com/media/photo-s/17/2e/5e/ee/entrance-to-the-mori.jpg,"일본 〒106-6150 Tokyo, Minato City, Roppongi, 6 Chome−10−1, Roppongi Hills Mori Tower, 53階","〒106-6150 東京都港区六本木６丁目１０−1, Roppongi Hills Mori Tower, 53階",https://www.mori.art.museum/,81 50-5541-8600,4.3,오전 10:00~오후 10:00,오전 10:00~오후 10:00,오전 10:00~오후 10:00,오전 10:00~오후 10:00,오전 10:00~오후 10:00,오전 10:00~오후 10:00,오전 10:00~오후 10:00,"['카페', '박물관', '무료', '야경', '체험', '실내', '기념품', '애니메이션', '사진', '전망대', '작품', '전시회', '만화']",150.0,35.66080203,139.7289889,국제적인 현대 미술품을 순회 전시하는 모리 타워의 미술관입니다.,13
Tokyo Station Gallery,40.0,131.0,아트뮤지엄,"1 Chome-9-1 Marunouchi, Chiyoda City, Tokyo 100-0005 일본",https://media-cdn.tripadvisor.com/media/photo-s/06/eb/59/07/caption.jpg,"1 Chome-9-1 Marunouchi, Chiyoda City, Tokyo 100-0005 일본",〒100-0005 東京都千代田区丸の内１丁目９−1,http://www.ejrcf.or.jp/gallery/,+81 3-3212-2485,4.2,오전 10:00~오후 6:00,휴무일,오전 10:00~오후 6:00,오전 10:00~오후 6:00,오전 10:00~오후 6:00,오전 10:00~오후 6:00,오전 10:00~오후 6:00,"['박물관', '무료', '그림', '역사', '사진', '작품', '옛날', '전시회']",30.0,35.68254936,139.766515,유서 깊은 기차역에 자리한 미술관으로 현대적인 작품과 철도 정보가 전시되어 있습니다.,1
Street Kart Tokyo Bay,50.0,815.0,장비 대여,"2 Chome-10 Shinkiba, Koto City, Tokyo 136-0082 일본",https://media-cdn.tripadvisor.com/media/photo-s/1a/c4/e0/f5/tokyo.jpg,"2 Chome-10 Shinkiba, Koto City, Tokyo 136-0082 일본",〒136-0082 東京都江東区新木場２丁目１０,http://kart.st/,81 80-8899-8899,4.8,오전 10:00~오후 10:00,오전 10:00~오후 10:00,오전 10:00~오후 10:00,오전 10:00~오후 10:00,오전 10:00~오후 10:00,오전 10:00~오후 10:00,오전 10:00~오후 10:00,"['야경', '카트', '사진']",105.0,35.63810349,139.8244013,매우 흥미롭고 일본을 방문할 때 꼭 경험해야 할 경험입니다. Real Life Super Hero Go-Karting 경험을 실현하기 위해 특별히 맞춤 제작된 고카트를 타고 있는 자신을 상상해보세요!,19
쓰키시마 몬자거리,,,기타,"1 Chome-3-丁目 Tsukishima, Chuo City, Tokyo, 일본",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/48/f6/b8/caption.jpg?w=1400&h=-1&s=1,"1 Chome-3-丁目 Tsukishima, Chuo City, Tokyo, 일본",東京都中央区月島１丁目３−丁目,http://www.monja.gr.jp/,+81 3-3532-1990,4.0,오전 10:00~오후 10:30,오전 10:00~오후 10:30,오전 10:00~오후 10:30,오전 10:00~오후 10:30,오전 10:00~오후 10:30,오전 10:00~오후 10:30,오전 10:00~오후 10:30,"['음식', '골목', '음식점', '산책', '사진', '자전거', '술', '옛날', '배']",240.0,35.66481415,139.7823391,걸쭉한 반죽에 토핑을 얹은 몬자야키 팬케이크를 판매하는 먹거리 상점이 늘어선 먹자골목입니다.,9
사쿠라 포토 스튜디오,50.0,28.0,게임 & 엔터테인먼트 센터,"鈴木ビル 2階, 1 Chome-12-12 Kaminarimon, Taito City, Tokyo 111-0034 일본",https://media-cdn.tripadvisor.com/media/photo-s/19/12/c0/e8/dsc1114-largejpg.jpg,"鈴木ビル 2階, 1 Chome-12-12 Kaminarimon, Taito City, Tokyo 111-0034 일본","鈴木ビル 2階, １丁目-１２-12 雷門 台東区 東京都 111-0034",http://www.sakuraphotokimono.com/,+81 3-6802-8814,4.9,오전 10:00~오후 6:00,오전 10:00~오후 6:00,오전 10:00~오후 6:00,오전 10:00~오후 6:00,오전 10:00~오후 6:00,오전 10:00~오후 6:00,오전 10:00~오후 6:00,"['강', '옷', '체험', '기모노', '사진', '유카타']",30.0,35.71028792,139.7945972,최고의 퀄리티를 자랑하는 사쿠라 포토 스튜디오 아사쿠사에서 기모노를 입고 좋은추억을 남기세요,14
하네다국제공항,40.0,1004.0,공항,"Hanedakuko, Ota City, Tokyo 144-0041 일본",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/de/c0/56/1460372965251-largejpg.jpg?w=1100&h=500&s=1,"Hanedakuko, Ota City, Tokyo 144-0041 일본",〒144-0041 東京都大田区羽田空港,http://www.tokyo-airport-bldg.co.jp/,+81 3-57570-8111,4.3,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,"['음식', '무료', '음식점', '선물', '기념품', '사진', '전망대', '쇼핑']",0.0,35.54962013,139.7798279,도쿄 수도권 방문자들이 이용하는 바다 근처 공항으로 직통 도심 철도가 연결되어 있고 무료 Wi-Fi가 제공됩니다.,Nan
도쿄 소라마치,,,쇼핑몰,"1 Chome-1-2 Oshiage, Sumida City, Tokyo 131-0045 일본",https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2F20140512_236%2F1978mm_13998261819621Khhl_JPEG%2F%25B5%25B5%25C4%25EC_e01.jpg&type=a340,"1 Chome-1-2 Oshiage, Sumida City, Tokyo 131-0045 일본",〒131-0045 東京都墨田区押上１丁目１−2,http://www.tokyo-solamachi.jp/,+81 5-7055-0102,4.1,오전 10:00~오후 9:00,오전 10:00~오후 9:00,오전 10:00~오후 9:00,오전 10:00~오후 9:00,오전 10:00~오후 9:00,오전 10:00~오후 9:00,오전 10:00~오후 9:00,"['카페', '백화점', '음식', '무료', '야경', '음식점', '옷', '수족관', '선물', '산책', '기념품', '휴식', '사진', '쇼핑몰', '전망대', '쇼핑']",120.0,35.71039008,139.8118536,도쿄 스카이트리 타워에 위치한 다층 소매 단지로 300여 개 매장과 레스토랑이 있습니다.,14
미쓰비시1호관미술관,,,박물관,"2 Chome-6-2 Marunouchi, Chiyoda City, Tokyo 100-0005 일본",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/c5/d7/8b/caption.jpg?w=2200&h=-1&s=1,"2 Chome-6-2 Marunouchi, Chiyoda City, Tokyo 100-0005 일본",〒100-0005 東京都千代田区丸の内２丁目６−2,http://mimt.jp/,+81 3-5777-8600,4.3,오전 10:00~오후 6:00,휴무일,오전 10:00~오후 6:00,오전 10:00~오후 6:00,오전 10:00~오후 6:00,오전 10:00~오후 6:00,오전 10:00~오후 6:00,"['카페', '박물관', '무료', '휴식', '역사', '사진', '작품', '그림', '전시회']",45.0,35.67912249,139.763226,앤 여왕 시대 양식의 웅장한 미술관으로 유럽 미술 컬렉션의 다양한 작품을 정기적으로 전시하며 카페와 정원이 있습니다.,1
도쿄도 미술관,40.0,542.0,아트뮤지엄,"8-36 Uenokoen, Taito City, Tokyo 110-0007 일본",https://media-cdn.tripadvisor.com/media/photo-s/15/0e/ad/35/caption.jpg,"8-36 Uenokoen, Taito City, Tokyo 110-0007 일본",〒110-0007 東京都台東区上野公園８−36,https://www.tobikan.jp/,+81 3-3823-6921,4.2,오전 9:30~오후 5:30,휴무일,오전 9:30~오후 5:30,오전 9:30~오후 5:30,오전 9:30~오후 5:30,오전 9:30~오후 5:30,오전 9:30~오후 5:30,"['동물원', '박물관', '카페', '무료', '산책', '공원', '기념품', '휴식', '역사', '사진', '작품', '그림', '전시회']",90.0,35.71740291,139.7730245,"전시실 6개, 카페, 레스토랑이 있으며 미술, 조각품, 사진을 전시한 박물관입니다.",7
다이마루 백화점 도쿄점,,,백화점,"1 Chome-9-1 Marunouchi, Chiyoda City, Tokyo 100-6701 일본",https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMjEwMjBfMjIy%2FMDAxNjY2MjQxNTM5Mjc3.E3QdmJ4DbgfGk6eQkaLNP87hVWE1fybij1zYnwxjGjMg.rFzD7U63bT4Y5bYn_hReBEWwKmMn9aCCq4Vl9sNyMcQg.JPEG.elsa_park%2FIMG_6768.jpg&type=a340,"1 Chome-9-1 Marunouchi, Chiyoda City, Tokyo 100-6701 일본",〒100-6701 東京都千代田区丸の内１丁目９−1,https://www.daimaru.co.jp/tokyo/,+81 3-3212-8011,4.0,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,"['카페', '백화점', '음식', '무료', '옷', '선물', '기념품', '술', '옛날', '쇼핑']",120.0,35.68164853,139.7696375,"다이마루 도쿄점 오피셜 계절마다의 행사·페어·세일이나, 미식·레이디스·뷰티·맨즈·스포츠·리빙·키즈·미술 등 기간 한정 숍·캠페인 등, 다양한 토픽의 최신 정보를 접해보세요.",1
미타카의 숲 지브리 미술관,45.0,1912.0,전문 박물관 • 아트뮤지엄,"1 Chome-1-83 Shimorenjaku, Mitaka, Tokyo 181-0013 일본",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/1a/cb/21/ghibli.jpg?w=1100&h=500&s=1,"1 Chome-1-83 Shimorenjaku, Mitaka, Tokyo 181-0013 일본",〒181-0013 東京都三鷹市下連雀１丁目１−83,https://www.ghibli-museum.jp/,+81 5-7005-5777,4.6,홈페이지 참조,홈페이지 참조,홈페이지 참조,홈페이지 참조,홈페이지 참조,홈페이지 참조,홈페이지 참조,"['카페', '박물관', '음식', '야외', '어린이', '산책', '공원', '실내', '극장', '기념품', '사진', '애니메이션', '작품', '그림']",150.0,35.69629896,139.5705604,"유명 애니메이션 스튜디오에 들어서 있는 독특한 박물관으로 내부에 놀이 공간, 극장, 루프톱 정원이 마련되어 있습니다.",12
도쿄 국립 근대 미술관,40.0,311.0,아트뮤지엄,"3-1 Kitanomarukoen, Chiyoda City, Tokyo 102-8322 일본",https://media-cdn.tripadvisor.com/media/photo-s/12/ef/24/15/caption.jpg,"3-1 Kitanomarukoen, Chiyoda City, Tokyo 102-8322 일본",〒102-8322 東京都千代田区北の丸公園３−1,없음,81 50-5541-8600,4.3,오전 9:30~오후 5:00,휴무일,오전 9:30~오후 5:00,오전 9:30~오후 5:00,오전 9:30~오후 5:00,오전 9:30~오후 5:00,오전 9:30~오후 5:00,"['카페', '박물관', '무료', '산책', '공원', '휴식', '역사', '사진', '작품', '그림', '전시회']",90.0,35.69070873,139.7547576,개조된 1969년도 갤러리로 메이지 시대(1868년) 초기에 제작된 일본 예술품을 소장하고 있습니다.,1
빅카메라 유라쿠초점,,,백화점,"1 Chome-11-1 Yurakucho, Chiyoda City, Tokyo 100-0006 일본",https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxODA1MTFfMjM5%2FMDAxNTI2MDAyOTcxMTQw.Ow1DkH4HWCLUKCMZRfVkivszFuPed4LuXpsXNtz_PMwg.pstG-AqpNt4G3Tmq6gdKRDZ7gMbrny3IUSko7SgODU4g.JPEG.azaaaaaaaaaa%2FIMG_4186.jpg&type=a340,"1 Chome-11-1 Yurakucho, Chiyoda City, Tokyo 100-0006 일본",〒100-0006 東京都千代田区有楽町１丁目１１−1,https://www.biccamera.com/bc/i/shop/shoplist/shop014.jsp?ref=gmb,+81 3-5221-1111,3.8,오전 10:00~오후 9:00,오전 10:00~오후 9:00,오전 10:00~오후 9:00,오전 10:00~오후 9:00,오전 10:00~오후 9:00,오전 10:00~오후 9:00,오전 10:00~오후 9:00,"['백화점', '무료', '게임', '자전거', '술', '쇼핑']",75.0,35.67555568,139.7629839,"도쿄도""유라쿠초역""히비야구의 바로 눈앞!카메라, 에어컨·냉장고·세탁기 등의 가전, TV, PC, 오디오뿐만 아니라, 스포츠 용품, 약·일용품, 이불, 안경·콘택트 렌즈 등을 접해보세요!",1
네즈 신사,40.0,661.0,역사적인 장소,"1 Chome-28-9 Nezu, Bunkyo City, Tokyo 113-0031 일본",https://media-cdn.tripadvisor.com/media/photo-s/08/b7/f9/9d/caption.jpg,"1 Chome-28-9 Nezu, Bunkyo City, Tokyo 113-0031 일본",〒113-0031 東京都文京区根津１丁目２８−9,http://www.nedujinja.or.jp/,+81 3-3822-0753,4.3,오전 9:30~오후 5:30,오전 9:30~오후 5:30,오전 9:30~오후 5:30,오전 9:30~오후 5:30,오전 9:30~오후 5:30,오전 9:30~오후 5:30,오전 9:30~오후 5:30,"['신사', '꽃', '사원', '산책', '공원', '휴식', '역사', '사진', '옛날']",45.0,35.7201599,139.7608342,터널처럼 줄지어 선 도리이 문과 봄철 진달래로 유명한 한적한 신사입니다.,15
센가쿠 절,45.0,633.0,종교적인 장소,"2 Chome-11-1 Takanawa, Minato City, Tokyo 108-0074 일본",https://media-cdn.tripadvisor.com/media/photo-s/0f/29/22/50/dsc-4077-largejpg.jpg,"2 Chome-11-1 Takanawa, Minato City, Tokyo 108-0074 일본",〒108-0074 東京都港区高輪２丁目１１−1,http://www.sengakuji.or.jp/,+81 3-3441-5560,4.3,오전 7:00~오후 5:00,오전 7:00~오후 5:00,오전 7:00~오후 5:00,오전 7:00~오후 5:00,오전 7:00~오후 5:00,오전 7:00~오후 5:00,오전 7:00~오후 5:00,"['박물관', '사원', '산책', '기념품', '휴식', '역사', '사진', '옛날', '절']",90.0,35.64023943,139.7359685,센가쿠지는 추신구라에 등장할 정도로 역사적으로 유명한 장소이다.,11
쓰키지 수산시장,40.0,1898.0,즐길거리 & 랜드마크,"4 Chome-16-2 Tsukiji, Chuo City, Tokyo 104-0045 일본",https://dynamic-media-cdn.tripadvisor.com/media/daodao/photo-o/17/6d/38/84/6-30-1-10-2.jpg?w=1100&h=500&s=1,"4 Chome-16-2 Tsukiji, Chuo City, Tokyo 104-0045 일본",〒104-0045 東京都中央区築地４丁目１６−2,http://www.tsukiji.or.jp/,+81 3-3541-9444,4.1,오전 5:00~오후 3:00,오전 5:00~오후 3:00,오전 5:00~오후 3:00,오전 5:00~오후 3:00,오전 5:00~오후 3:00,오전 5:00~오후 3:00,오전 5:00~오후 3:00,"['음식', '골목', '시장', '배', '음식점', '산책', '먹거리', '기념품', '사진', '옛날', '쇼핑']",120.0,35.66529258,139.7696542,해산물을 판매하는 도매 및 소매상점과 편안한 분위기의 레스토랑과 카페가 있는 번화한 지역입니다.,9
스파 라쿠아,40.0,565.0,놀이공원 & 테마파크,"일본 〒112-0003 Tokyo, Bunkyo City, Kasuga, 1 Chome−1−1 ラクーアビル ６Ｆ",https://media-cdn.tripadvisor.com/media/photo-s/13/89/13/be/dsc04235-largejpg.jpg,"일본 〒112-0003 Tokyo, Bunkyo City, Kasuga, 1 Chome−1−1 ラクーアビル ６Ｆ",〒112-0003 東京都文京区春日１丁目１−1 ラクーアビル ６Ｆ,https://www.laqua.jp/spa/,+81 3-3817-4173,4.0,오전 11:00~오전 9:00,오전 11:00~오전 9:00,오전 11:00~오전 9:00,오전 11:00~오전 9:00,오전 11:00~오전 9:00,오전 11:00~오전 9:00,오전 11:00~오전 9:00,"['카페', '노천', '음식', '무료', '온천', '음식점', '사우나', '실내', '휴식', '스파', '목욕탕', '쇼핑']",150.0,35.70699622,139.7530189,"고요한 실내외 스파로 온천과 사우나, 마사지 욕조가 구비되어 있으며 하루 중 22시간 운영합니다.",15
도쿄 미드타운,40.0,939.0,쇼핑몰,"9 Chome-7-1 Akasaka, Minato City, Tokyo 107-0052 일본",https://dynamic-media-cdn.tripadvisor.com/media/daodao/photo-s/0c/85/1d/f2/photo0jpg.jpg?w=1100&h=500&s=1,"9 Chome-7-1 Akasaka, Minato City, Tokyo 107-0052 일본",〒107-0052 東京都港区赤坂９丁目７−1,http://www.tokyo-midtown.com/jp/,+81 3-3475-3100,4.1,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 11:00~오후 9:00,"['카페', '박물관', '백화점', '음식', '무료', '야경', '음식점', '선물', '산책', '공원', '휴식', '사진', '쇼핑몰', '광장', '쇼핑']",150.0,35.67404068,139.7332743,"고급 매장, 다양한 레스토랑, 미술관, 녹지대가 있는 호화로운 쇼핑 단지입니다.",13
국립 서양 미술관,45.0,909.0,아트뮤지엄,"7 Chome-7-7 Uenokoen, Taito City, Tokyo 110-0007 일본",https://media-cdn.tripadvisor.com/media/photo-s/17/54/0c/ee/from-another-angle.jpg,"7 Chome-7-7 Uenokoen, Taito City, Tokyo 110-0007 일본",〒110-0007 東京都台東区上野公園７丁目７−7,https://www.nmwa.go.jp/jp/index.html,81 50-5541-8600,4.4,오전 9:30~오후 5:30,휴무일,오전 9:30~오후 5:30,오전 9:30~오후 5:30,오전 9:30~오후 5:30,오전 9:30~오후 5:30,오전 9:30~오후 5:30,"['카페', '박물관', '무료', '공원', '작품', '사진', '그림', '전시회']",90.0,35.71554367,139.7760284,"1959년에 개장한 국립 서양 미술관으로 르누아르, 반 고흐, 피카소, 모네 작품이 전시되어 있습니다.",7
도호 시네마즈 신주쿠,,,인근 지역,"일본 〒160-0021 Tokyo, Shinjuku City, Kabukicho, 1 Chome−19−1, Shinjuku Toho Building, ３階",https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzAxMjJfNDMg%2FMDAxNjc0MzE1MjI1ODc2.Rt9Hw59-dQN5upqdHwe_9xjN_NJVA4BxlOCb4zMxTYQg.Ap_lFzlnoQGyEGsXh3Zs4hoBHn4k93wfEGUEhCKYCj4g.JPEG.o_ojune4th%2FIMG_5825.jpg&type=ofullfill340_600_png,"일본 〒160-0021 Tokyo, Shinjuku City, Kabukicho, 1 Chome−19−1, Shinjuku Toho Building, ３階","〒160-0021 東京都新宿区歌舞伎町１丁目１９−1, Shinjuku Toho Building, ３階",https://hlo.tohotheater.jp/net/schedule/076/TNPI2000J01.do,81 50-6868-5063,4.1,홈페이지 참조,홈페이지 참조,홈페이지 참조,홈페이지 참조,홈페이지 참조,홈페이지 참조,홈페이지 참조,"['음식', '무료', '음식점', '체험', '극장', '작품', '옛날']",150.0,35.69555468,139.702076,신주쿠 코마 극장 자리에 고질라 헤드가 출현하여 화제를 부른 신주쿠 도호 빌딩. 3~6층에 있는 12개의 스크린 약 2300석을 확보한 도내 최대급 영화관으로 IMAX 디지털 시어터와 프리미엄 고급 시트 등 최신 설비도 매력적이다.,16
